[2025-12-28 19:09:42,095] INFO | fixtures_ingest | Last fixture GW in CSV = 0
[2025-12-28 19:09:42,096] INFO | fixtures_ingest | Fetching fixtures for GW 1
[2025-12-28 19:09:42,096] INFO | fixtures | Fetching fixtures for gameweek=1
[2025-12-28 19:09:42,807] INFO | fixtures | Retrieved 10 fixtures for gameweek=1
[2025-12-28 19:09:42,813] INFO | fixtures_ingest | Wrote 10 fixtures for GW 1
[2025-12-28 19:09:42,814] INFO | fixtures_ingest | Fetching fixtures for GW 2
[2025-12-28 19:09:42,814] INFO | fixtures | Fetching fixtures for gameweek=2
[2025-12-28 19:09:43,529] INFO | fixtures | Retrieved 10 fixtures for gameweek=2
[2025-12-28 19:09:43,534] INFO | fixtures_ingest | Wrote 10 fixtures for GW 2
[2025-12-28 19:09:43,534] INFO | fixtures_ingest | Fetching fixtures for GW 3
[2025-12-28 19:09:43,535] INFO | fixtures | Fetching fixtures for gameweek=3
[2025-12-28 19:09:44,151] INFO | fixtures | Retrieved 10 fixtures for gameweek=3
[2025-12-28 19:09:44,156] INFO | fixtures_ingest | Wrote 10 fixtures for GW 3
[2025-12-28 19:09:44,157] INFO | fixtures_ingest | Fetching fixtures for GW 4
[2025-12-28 19:09:44,157] INFO | fixtures | Fetching fixtures for gameweek=4
[2025-12-28 19:09:44,687] INFO | fixtures | Retrieved 10 fixtures for gameweek=4
[2025-12-28 19:09:44,691] INFO | fixtures_ingest | Wrote 10 fixtures for GW 4
[2025-12-28 19:09:44,691] INFO | fixtures_ingest | Fetching fixtures for GW 5
[2025-12-28 19:09:44,692] INFO | fixtures | Fetching fixtures for gameweek=5
[2025-12-28 19:09:45,227] INFO | fixtures | Retrieved 10 fixtures for gameweek=5
[2025-12-28 19:09:45,231] INFO | fixtures_ingest | Wrote 10 fixtures for GW 5
[2025-12-28 19:09:45,231] INFO | fixtures_ingest | Fetching fixtures for GW 6
[2025-12-28 19:09:45,231] INFO | fixtures | Fetching fixtures for gameweek=6
[2025-12-28 19:09:45,771] INFO | fixtures | Retrieved 10 fixtures for gameweek=6
[2025-12-28 19:09:45,775] INFO | fixtures_ingest | Wrote 10 fixtures for GW 6
[2025-12-28 19:09:45,775] INFO | fixtures_ingest | Fetching fixtures for GW 7
[2025-12-28 19:09:45,775] INFO | fixtures | Fetching fixtures for gameweek=7
[2025-12-28 19:09:46,336] INFO | fixtures | Retrieved 10 fixtures for gameweek=7
[2025-12-28 19:09:46,341] INFO | fixtures_ingest | Wrote 10 fixtures for GW 7
[2025-12-28 19:09:46,341] INFO | fixtures_ingest | Fetching fixtures for GW 8
[2025-12-28 19:09:46,342] INFO | fixtures | Fetching fixtures for gameweek=8
[2025-12-28 19:09:46,939] INFO | fixtures | Retrieved 10 fixtures for gameweek=8
[2025-12-28 19:09:46,943] INFO | fixtures_ingest | Wrote 10 fixtures for GW 8
[2025-12-28 19:09:46,944] INFO | fixtures_ingest | Fetching fixtures for GW 9
[2025-12-28 19:09:46,944] INFO | fixtures | Fetching fixtures for gameweek=9
[2025-12-28 19:09:47,510] INFO | fixtures | Retrieved 10 fixtures for gameweek=9
[2025-12-28 19:09:47,514] INFO | fixtures_ingest | Wrote 10 fixtures for GW 9
[2025-12-28 19:09:47,514] INFO | fixtures_ingest | Fetching fixtures for GW 10
[2025-12-28 19:09:47,514] INFO | fixtures | Fetching fixtures for gameweek=10
[2025-12-28 19:09:48,051] INFO | fixtures | Retrieved 10 fixtures for gameweek=10
[2025-12-28 19:09:48,054] INFO | fixtures_ingest | Wrote 10 fixtures for GW 10
[2025-12-28 19:09:48,055] INFO | fixtures_ingest | Fetching fixtures for GW 11
[2025-12-28 19:09:48,055] INFO | fixtures | Fetching fixtures for gameweek=11
[2025-12-28 19:09:48,630] INFO | fixtures | Retrieved 10 fixtures for gameweek=11
[2025-12-28 19:09:48,635] INFO | fixtures_ingest | Wrote 10 fixtures for GW 11
[2025-12-28 19:09:48,635] INFO | fixtures_ingest | Fetching fixtures for GW 12
[2025-12-28 19:09:48,635] INFO | fixtures | Fetching fixtures for gameweek=12
[2025-12-28 19:09:49,182] INFO | fixtures | Retrieved 10 fixtures for gameweek=12
[2025-12-28 19:09:49,185] INFO | fixtures_ingest | Wrote 10 fixtures for GW 12
[2025-12-28 19:09:49,186] INFO | fixtures_ingest | Fetching fixtures for GW 13
[2025-12-28 19:09:49,186] INFO | fixtures | Fetching fixtures for gameweek=13
[2025-12-28 19:09:49,710] INFO | fixtures | Retrieved 10 fixtures for gameweek=13
[2025-12-28 19:09:49,713] INFO | fixtures_ingest | Wrote 10 fixtures for GW 13
[2025-12-28 19:09:49,714] INFO | fixtures_ingest | Fetching fixtures for GW 14
[2025-12-28 19:09:49,714] INFO | fixtures | Fetching fixtures for gameweek=14
[2025-12-28 19:09:50,246] INFO | fixtures | Retrieved 10 fixtures for gameweek=14
